depth,fid_qiskit,fid_model,delta_f
6,0.9880957439999999,0.9959999999999998,0.007904255999999887
11,0.3516556968399358,0.8177016213105943,0.4660459244706585
10,0.5771858590798575,0.003968063999999997,-0.5732177950798575
6,0.9880957439999999,0.996,0.00790425600000011
5,0.9841433610240002,0.9841116165120001,-3.1744512000164704e-05
9,0.9920319999999997,0.9959999999999998,0.003968000000000083
5,0.6375623061923117,0.2858037524480004,-0.3517585537443113
11,0.9802225971118078,0.8056506031745532,-0.17457199393725464
4,0.9400000000000001,0.9400000000000001,0.0
5,0.3046669948905932,0.15074673247357034,-0.15392026241702284
11,0.5934647572497919,0.45790790512997187,-0.13555685211982
5,0.9179884582460404,0.9325747199999999,0.014586261753959495
4,0.9763331993109133,0.992016,0.015682800689086673
7,0.6649543115616706,0.2968223233024004,-0.36813198825927024
7,0.984143361024,0.992016,0.00787263897599999
5,0.6287313154165096,0.27696000000000043,-0.3517713154165092
9,0.6487078453980409,0.27216335951424314,-0.3765444858837978
4,0.9218920542057265,0.927551939153602,0.005659884947875504
7,0.18945405849121885,0.260719441535115,0.07126538304389615
9,0.9841433610239999,0.992016,0.007872638976000101
8,0.624421085443214,0.9920319999999998,0.36761091455678585
7,0.9183569177720807,0.9326694399999997,0.014312522227919011
11,0.4324452041862204,0.26311161753075196,-0.16933358665546844
6,0.21384226423129518,0.40749237302486024,0.19365010879356506
6,0.988095744,0.996,0.007904255999999998
8,0.9400000000000001,0.9400000000000001,0.0
8,0.9251738070220801,0.93257472,0.0074009129779198934
4,0.9400000000000001,0.9400000000000001,0.0
10,0.43718365690021055,0.9238417313969877,0.4866580744967771
7,0.9880957439999999,0.7991910348447191,-0.1889047091552808
11,0.9841433610239998,0.992016,0.007872638976000212
4,0.6152452619188904,0.8805408000000001,0.2652955380811097
5,0.9179884582460403,0.93257472,0.014586261753959717
4,0.9400000000000001,0.9400000000000001,0.0
10,0.9400000000000001,0.9400000000000001,0.0
6,0.9400000000000001,0.9400000000000001,0.0
5,0.6792434524285597,0.2984064000000003,-0.38083705242855936
4,0.984143361024,0.992016,0.00787263897599999
4,0.9216454293428638,0.9288594022400004,0.007213972897136656
7,0.6339000772648717,0.2857718804480002,-0.3481281968168715
6,0.6218564126270949,0.996,0.3741435873729051
8,0.0,0.01984064,0.01984064
11,0.6007120793912333,0.2833427390409015,-0.31736934035033176
9,0.3292336731709408,0.2771678959449948,-0.05206577722594602
10,0.12036068675066577,0.3107625502639938,0.19040186351332802
9,0.9400000000000001,0.9400000000000001,0.0
11,0.9880957439999999,0.8306799359999998,-0.1574158080000001
5,0.6719608511766513,0.2976127744000003,-0.374348076776651
7,0.9325747200000001,0.8260539310080004,-0.10652078899199968
6,0.21338834764831843,0.2918795868820264,0.07849123923370799
5,0.9400000000000001,0.9400000000000001,0.0
10,0.24,0.25000000000000006,0.010000000000000064
4,0.5878439752461095,0.2664960000000003,-0.32134797524610925
9,0.3487322430091263,0.3776614532185714,0.02892921020944511
10,0.9144388382370322,0.03427026107111002,-0.8801685771659222
10,0.3431337142291574,0.2761081600000002,-0.06702555422915718
10,0.6418973433304261,0.2865338880000003,-0.35536345533042585
7,0.9400000000000001,0.9400000000000001,0.0
7,0.988095744,0.9582442481255982,-0.029851495874401834
11,1.0,1.0,0.0
11,0.4319614276209667,0.28504758598041635,-0.14691384164055032
5,0.9685537763788042,0.9880479360000001,0.019494159621195828
4,0.9400000000000001,0.9400000000000001,0.0
9,0.8009483283142413,0.8633477840213141,0.062399455707072726
7,0.9290480844800001,0.93632,0.00727191551999995
7,0.5651399790690093,0.21526833536519607,-0.3498716437038132
8,0.996,0.830901248,-0.16509875200000002
11,0.9841433610240002,0.9920160000000002,0.00787263897599999
10,0.9400000000000001,0.9400000000000001,0.0
10,0.6601135416637849,0.49601599999999946,-0.16409754166378543
7,0.984143361024,0.9920160000000001,0.007872638976000101
10,0.7143425897817897,0.2740663722031516,-0.44027621757863805
6,0.9763331993109139,0.9880638720000001,0.01173067268908623
8,0.5231331623368588,0.770726326133629,0.2475931637967702
8,0.8588275673351273,0.8292975360000002,-0.029530031335127105
6,0.93632,0.93632,0.0
4,0.9763331993109136,0.992016,0.01568280068908645
4,0.9763331993109133,0.9880638719999999,0.011730672689086563
5,0.9880957439999999,0.996,0.00790425600000011
4,1.0,0.8340160000000001,-0.1659839999999999
4,0.988095744,0.996,0.007904255999999998
10,0.7633238089224427,0.8186126239880354,0.05528881506559269
11,0.22995360000000012,0.22995360000000006,-5.551115123125783e-17
11,0.6405469287176846,0.7821537331199999,0.14160680440231532
9,0.8635761150602522,0.8910550771494502,0.027478962089197978
8,0.35056782181915236,0.190030233981132,-0.16053758783802036
4,0.9400000000000001,0.9400000000000001,0.0
11,0.08413138469196395,0.019200000000000005,-0.06493138469196394
6,0.6990284163917815,0.8778887423999998,0.17886032600821833
9,0.6532643863009586,0.9746948728708875,0.3214304865699289
7,0.9763331993109139,0.9544112711330959,-0.021921928177818018
9,0.847136064261814,0.28014885518642346,-0.5669872090753905
8,0.9841433610240001,0.988063872,0.00392051097599988
9,0.988095744,0.996,0.007904255999999998
7,0.9802225971118079,0.9920159999999998,0.011793402888191862
10,0.996,0.830901248,-0.16509875200000002
4,0.9400000000000001,0.9400000000000001,0.0
4,0.8806144,0.8806144,0.0
8,0.996,0.996,0.0
10,0.16110626648289395,0.9786093101113328,0.8175030436284388
6,0.9880957440000002,0.9960000000000001,0.007904255999999887
7,0.9362400000000001,0.9362400000000001,0.0
6,0.9363200000000003,0.9363200000000003,0.0
10,0.35633350941546,0.26967049455727243,-0.08666301485818756
8,0.93632,0.93632,0.0
4,0.617935527147421,0.8293652480000003,0.21142972085257938
10,0.9400000000000001,0.9400000000000001,0.0
8,0.6133857003662425,0.2742731013419831,-0.3391125990242594
7,0.619552333853301,0.27541902848000044,-0.34413330537330056
8,0.6287313154165098,0.27696000000000043,-0.3517713154165094
8,0.8848,0.2568691200000004,-0.6279308799999996
5,0.9960000000000001,0.9960000000000001,0.0
5,0.9763331993109131,0.9880638719999999,0.011730672689086785
9,0.9290480844800002,0.9326694400000002,0.0036213555199999803
4,0.9880957439999999,0.9959999999999998,0.007904255999999887
11,0.9325747200000001,0.8260539310080003,-0.10652078899199979
9,0.9251738070220801,0.9325747200000001,0.0074009129779200045
9,0.8714192438198269,0.8233455383086058,-0.04807370551122114
11,0.06703638240731771,0.038292025628459105,-0.028744356778858608
6,0.996,0.830901248,-0.16509875200000002
5,0.9763331993109136,0.9782808483138693,0.0019476490029557425
6,0.996,0.996,0.0
10,0.6275583531087078,0.284975918246214,-0.3425824348624938
4,0.9880957439999999,0.992032,0.003936256000000138
4,0.9363200000000003,0.9363200000000003,0.0
4,1.0,1.0,0.0
6,0.2928687843055174,0.2748690522521603,-0.017999732053357087
6,0.9400000000000001,0.9400000000000001,0.0
11,0.12500000000000003,0.3920666590000024,0.26706665900000237
4,0.9960000000000001,0.9960000000000001,0.0
